gene	lof.pLI
LASP1	9.9911e-01
LAT	9.9354e-01
LAT2	9.0950e-01
LATS1	1.0000e+00
LATS2	9.8337e-01
LAX1	1.6701e-01
LAYN	2.9267e-02
LBH	3.1349e-01
LBHD1	1.9361e-03
LBP	6.7841e-14
LBR	9.7208e-01
LBX1	4.4438e-01
LBX2	1.4428e-01
LCA5	7.6468e-06
LCA5L	3.0281e-01
LCAT	7.6238e-01
LCE1A	1.0517e-01
LCE1B	3.6738e-02
LCE1C	7.8871e-02
LCE1D	1.6478e-02
LCE1E	4.0112e-02
LCE1F	1.3223e-03
LCE2A	3.5582e-01
LCE2B	3.2435e-01
LCE2C	3.3993e-01
LCE2D	3.5582e-01
LCE3A	3.2626e-01
LCE3E	1.8809e-01
LCE4A	1.0907e-01
LCE5A	1.3966e-01
LCE6A	6.3423e-03
LCK	1.0000e+00
LCLAT1	9.4165e-01
LCMT1	3.3551e-01
LCMT2	8.3471e-05
LCN1	1.2452e-06
LCN10	4.8123e-03
LCN12	7.1011e-04
LCN15	5.2963e-06
LCN2	3.1226e-09
LCN6	7.3640e-06
LCN8	1.2516e-04
LCN9	5.2942e-10
LCNL1	6.5556e-06
LCOR	1.0000e+00
LCORL	1.0000e+00
LCP1	9.9997e-01
LCP2	9.9672e-01
LCT	4.8062e-09
LCTL	6.3035e-10
LDAF1	3.8229e-01
LDAH	4.6326e-03
LDB1	1.0000e+00
LDB2	9.9944e-01
LDB3	8.2968e-02
LDHA	8.7543e-01
LDHAL6A	6.6334e-04
LDHAL6B	9.0809e-02
LDHB	9.5275e-02
LDHC	6.0809e-02
LDHD	6.1353e-20
LDLR	2.6431e-11
LDLRAD1	2.9100e-04
LDLRAD2	8.0913e-10
LDLRAD3	2.1817e-03
LDLRAD4	9.2330e-01
LDLRAP1	5.3241e-06
LDOC1	5.2431e-01
LEAP2	3.5928e-06
LECT2	4.0419e-01
LEF1	9.9636e-01
LEFTY1	1.3897e-07
LEFTY2	6.4752e-01
LEKR1	1.9891e-01
LELP1	4.9948e-02
LEMD1	5.6167e-02
LEMD2	1.0967e-01
LEMD3	4.0594e-01
LENEP	4.4443e-02
LENG1	1.4638e-13
LENG8	1.0000e+00
LENG9	3.4204e-01
LEO1	9.8927e-01
LEP	2.5229e-02
LEPR	8.8607e-05
LEPROT	8.6633e-01
LEPROTL1	4.1575e-01
LETM1	4.5698e-10
LETM2	4.4830e-01
LETMD1	7.6368e-02
LEUTX	4.5483e-02
LEXM	6.1363e-16
LFNG	9.6693e-02
LGALS1	1.8891e-05
LGALS12	2.4887e-10
LGALS13	1.6874e-02
LGALS14	2.9559e-04
LGALS16	2.0618e-06
LGALS2	1.3420e-01
LGALS3	3.6884e-01
LGALS3BP	1.2754e-04
LGALS4	3.2075e-03
LGALS7B	6.0489e-01
LGALS8	1.2591e-01
LGALS9	3.4389e-01
LGALS9B	1.3163e-01
LGALS9C	9.7513e-01
LGALSL	1.9051e-03
LGI1	1.0000e+00
LGI2	5.5004e-01
LGI3	2.8460e-05
LGI4	7.7716e-06
LGMN	4.7195e-01
LGR4	1.1697e-02
LGR5	9.9711e-04
LGR6	2.6430e-03
LGSN	1.1877e-05
LHB	1.2708e-04
LHCGR	2.8480e-03
LHFPL1	2.9741e-01
LHFPL2	3.7894e-01
LHFPL3	9.4011e-01
LHFPL4	8.8001e-01
LHFPL5	3.9806e-03
LHFPL6	1.0951e-01
LHPP	2.8381e-02
LHX1	9.2032e-01
LHX2	9.9972e-01
LHX3	2.3880e-04
LHX4	5.6683e-01
LHX5	9.9753e-01
LHX6	9.9211e-01
LHX8	9.6499e-01
LHX9	9.9987e-01
LIAS	2.8941e-03
LIF	1.0771e-02
LIFR	4.0406e-01
LIG1	2.5887e-03
LIG3	7.3340e-01
LIG4	1.1393e-02
LILRA1	3.5623e-11
LILRA2	1.0420e-01
LILRA4	7.4400e-19
LILRA5	7.8704e-08
LILRA6	2.0843e-01
LILRB1	7.6234e-15
LILRB2	3.1859e-08
LILRB3	3.9245e-06
LILRB4	5.2503e-03
LILRB5	2.4006e-16
LIM2	3.9384e-04
LIMA1	4.5625e-02
LIMCH1	4.2503e-01
LIMD1	9.7890e-01
LIMD2	6.1446e-02
LIME1	9.7594e-07
LIMK1	1.0000e+00
LIMK2	8.3592e-01
LIMS1	4.9166e-01
LIMS2	2.7686e-04
LIN28A	3.6167e-02
LIN28B	9.9351e-01
LIN37	3.9090e-01
LIN52	1.2314e-01
LIN54	1.0000e+00
LIN7A	4.3038e-04
LIN7B	1.4686e-02
LIN7C	4.9732e-04
LIN9	1.0000e+00
LINC00632	8.9251e-02
LINC02210-CRHR1	8.0172e-03
LINGO1	9.9470e-01
LINGO2	6.9906e-02
LINGO3	3.5419e-01
LINGO4	7.8231e-07
LINS1	2.9710e-01
LIPA	2.0388e-03
LIPC	8.3085e-08
LIPE	1.3862e-01
LIPF	3.0784e-02
LIPG	8.8304e-02
LIPH	6.7498e-01
LIPI	2.5073e-04
LIPJ	4.0818e-01
LIPK	2.7547e-03
LIPM	6.3479e-03
LIPN	2.7616e-02
LIPT1	1.0797e-02
LIPT2	1.4087e-03
LITAF	5.6889e-01
LIX1	6.3864e-04
LIX1L	4.5093e-03
LKAAEAR1	8.3584e-09
LLCFC1	1.1994e-06
LLGL1	9.6174e-06
LLGL2	6.7808e-01
LLPH	1.9181e-01
LMAN1	6.4502e-04
LMAN1L	1.2058e-02
LMAN2	1.9777e-02
LMAN2L	1.5211e-04
LMBR1	3.8710e-02
LMBR1L	8.9593e-02
LMBRD1	3.3128e-01
LMBRD2	6.1850e-04
LMCD1	7.3354e-03
LMF1	2.1720e-05
LMF2	6.1760e-40
LMLN	2.3522e-01
LMNA	1.0000e+00
LMNB1	9.5546e-01
LMNB2	9.9996e-01
LMNTD1	7.1251e-02
LMNTD2	1.2179e-11
LMO1	7.9084e-01
LMO2	1.6077e-02
LMO3	9.5463e-01
LMO4	9.9482e-01
LMO7	9.4526e-01
LMOD1	9.9979e-01
LMOD2	6.9223e-06
LMOD3	3.4464e-07
LMTK2	1.0000e+00
LMTK3	8.9101e-01
LMX1A	9.9383e-01
LMX1B	9.9955e-01
LNP1	2.1349e-04
LNPEP	3.6732e-01
LNPK	3.8890e-01
LNX1	6.7677e-01
LNX2	2.5304e-02
LOC100129098	9.0898e-02
LOC100132202	5.0070e-01
LOC100133315	3.2049e-01
LOC100421372	5.7099e-04
LOC100505841	4.2219e-02
LOC100509620	6.8554e-02
LOC100996598	5.8109e-01
LOC101060341	3.6587e-01
LOC101927375	4.5934e-01
LOC101928268	4.2003e-01
LOC101929805	1.6556e-01
LOC101929937	6.3661e-05
LOC101930434	2.4657e-03
LOC102724488	8.5814e-01
LOC105372704	3.3118e-01
LOC105375112	9.0306e-02
LOC105376722	4.5400e-08
LOC107984025	8.4303e-05
LOC107984124	4.0105e-03
LOC107984638	6.4363e-02
LOC107985555	1.0312e-01
LOC107985795	1.3373e-01
LOC112267897	2.0411e-01
LOC112268437	3.9575e-03
LOC112577516	4.3780e-01
LOC118142757	4.2577e-04
LOC390877	2.3343e-01
LOC400499	4.2772e-41
LOC441155	4.7392e-01
LOC441239	2.9749e-02
LOC645202	2.1609e-01
LOC728392	1.3467e-02
LONP1	9.9997e-01
LONP2	4.4950e-08
LONRF1	4.7321e-01
LONRF2	1.9481e-05
LONRF3	6.8905e-01
LORICRIN	1.2611e-03
LOX	9.7953e-01
LOXHD1	2.3907e-01
LOXL1	3.1848e-01
LOXL2	5.2165e-02
LOXL3	7.1674e-03
LOXL4	6.9945e-18
LPA	2.2186e-01
LPAR1	9.9784e-01
LPAR2	4.4200e-01
LPAR3	7.7659e-01
LPAR4	3.2540e-01
LPAR5	4.0180e-01
LPAR6	3.4244e-05
LPCAT1	9.6184e-01
LPCAT2	2.9259e-04
LPCAT3	9.9641e-01
LPCAT4	9.4422e-01
LPGAT1	9.9999e-01
LPIN1	2.9534e-01
LPIN2	5.3503e-01
LPIN3	8.8934e-10
LPL	5.1434e-04
LPO	9.1075e-06
LPP	1.6363e-01
LPXN	1.6145e-03
LRAT	1.5239e-02
LRATD1	1.9776e-02
LRATD2	3.4662e-06
LRBA	4.4676e-01
LRCH1	9.9978e-01
LRCH2	9.9713e-01
LRCH3	2.1564e-05
LRCH4	7.7445e-05
LRCOL1	4.0188e-04
LRFN1	1.8747e-06
LRFN2	3.8072e-02
LRFN3	2.3822e-03
LRFN4	3.2822e-02
LRFN5	4.4458e-01
LRG1	2.4717e-01
LRGUK	6.0772e-07
LRIF1	1.4342e-03
LRIG1	1.8704e-04
LRIG2	2.4541e-12
LRIG3	3.7865e-03
LRIT1	7.7607e-05
LRIT2	4.4655e-08
LRIT3	5.9821e-02
LRMDA	5.4201e-02
LRP1	1.0000e+00
LRP10	9.1720e-07
LRP11	2.0508e-05
LRP12	1.0000e+00
LRP1B	1.0000e+00
LRP2	1.0000e+00
LRP2BP	8.6904e-03
LRP3	2.2081e-03
LRP4	7.4760e-01
LRP5	9.9983e-01
LRP6	1.0000e+00
LRP8	9.9999e-01
LRPAP1	2.8912e-15
LRPPRC	1.1413e-04
LRR1	2.2339e-06
LRRC1	3.5230e-01
LRRC10	1.4372e-01
LRRC10B	7.5174e-02
LRRC14	4.5001e-01
LRRC14B	2.5893e-12
LRRC15	5.9824e-04
LRRC17	8.3205e-02
LRRC18	3.7694e-05
LRRC19	2.7711e-04
LRRC2	9.2677e-06
LRRC20	1.2635e-01
LRRC23	2.0693e-03
LRRC24	4.9111e-08
LRRC25	9.1569e-01
LRRC26	1.4040e-10
LRRC27	3.7501e-08
LRRC28	6.8538e-01
LRRC3	2.6275e-03
LRRC30	4.4987e-03
LRRC31	4.8492e-08
LRRC32	5.8459e-01
LRRC34	3.3747e-02
LRRC36	6.1192e-01
LRRC37A	3.7936e-01
LRRC37A2	9.5234e-01
LRRC37A3	9.9390e-01
LRRC37B	1.0000e+00
LRRC38	8.5033e-01
LRRC39	1.3823e-10
LRRC3B	9.7349e-01
LRRC3C	1.9765e-05
LRRC4	9.9637e-01
LRRC40	2.1751e-01
LRRC41	1.0000e+00
LRRC42	1.7210e-06
LRRC43	1.3351e-03
LRRC45	2.9845e-01
LRRC46	5.7141e-04
LRRC47	1.2778e-09
LRRC49	9.7993e-01
LRRC4B	7.8712e-01
LRRC4C	9.9998e-01
LRRC51	5.2212e-01
LRRC52	3.6603e-06
LRRC55	1.3931e-02
LRRC56	6.2598e-12
LRRC57	1.1700e-02
LRRC58	7.6960e-04
LRRC59	1.0877e-01
LRRC61	2.0355e-04
LRRC63	2.5388e-03
LRRC66	2.2829e-11
LRRC69	2.6828e-02
LRRC7	1.0000e+00
LRRC70	5.5488e-02
LRRC71	9.4414e-09
LRRC72	3.4854e-07
LRRC73	1.0136e-02
LRRC74A	5.8841e-04
LRRC75A	5.3593e-01
LRRC75B	8.0459e-04
LRRC8A	6.0357e-02
LRRC8B	8.5801e-01
LRRC8C	9.7153e-01
LRRC8D	9.7464e-01
LRRC8E	5.8798e-02
LRRCC1	4.1281e-14
LRRD1	8.5478e-02
LRRFIP1	3.8416e-01
LRRFIP2	1.3445e-01
LRRIQ1	6.2083e-03
LRRIQ3	3.3851e-03
LRRIQ4	3.9944e-03
LRRK1	1.3542e-01
LRRK2	2.6557e-03
LRRN1	9.8007e-01
LRRN2	9.6341e-01
LRRN3	8.1619e-01
LRRN4	3.2606e-01
LRRTM1	9.9966e-01
LRRTM2	8.7332e-01
LRRTM3	1.1057e-03
LRRTM4	3.5739e-01
LRSAM1	2.6432e-17
LRTM1	4.9390e-10
LRTM2	1.2551e-02
LRTOMT	5.4432e-03
LRWD1	1.1776e-02
LSAMP	9.9998e-01
LSG1	1.1148e-01
LSM1	1.4548e-01
LSM10	4.0826e-03
LSM11	2.1065e-03
LSM12	9.9993e-01
LSM14A	9.9937e-01
LSM14B	9.9994e-01
LSM2	9.6705e-04
LSM3	1.9892e-04
LSM4	7.0644e-03
LSM5	2.9226e-01
LSM7	4.0363e-04
LSM8	4.0843e-02
LSMEM1	1.3895e-03
LSMEM2	1.5180e-05
LSP1	5.7518e-01
LSR	2.9565e-01
LSS	9.6069e-04
LST1	2.9279e-01
LTA	4.2383e-01
LTA4H	1.4393e-03
LTB	5.7366e-04
LTB4R	3.4190e-01
LTB4R2	9.8147e-02
LTBP1	4.9018e-01
LTBP2	6.8255e-01
LTBP3	1.4853e-08
LTBP4	4.0737e-02
LTBR	9.7912e-01
LTC4S	3.3424e-04
LTF	3.5135e-03
LTK	1.7255e-29
LTN1	9.9464e-01
LTO1	1.7126e-01
LTV1	2.6146e-02
LUC7L	9.5860e-01
LUC7L2	7.2548e-02
LUC7L3	1.0000e+00
LUM	2.4905e-03
LURAP1	2.3869e-04
LURAP1L	1.6396e-02
LUZP1	9.9984e-01
LUZP2	1.1030e-01
LUZP4	3.6897e-01
LUZP6	2.9995e-01
LVRN	1.4252e-25
LXN	2.5812e-07
LY6D	6.1736e-04
LY6E	1.5716e-01
LY6G5B	3.2765e-02
LY6G5C	7.3504e-02
LY6G6C	2.0011e-02
LY6G6D	1.3644e-01
LY6G6F	2.1469e-07
LY6G6F-LY6G6D	6.8050e-08
LY6H	1.9345e-02
LY6K	3.0482e-01
LY6L	2.6586e-03
LY75	4.7465e-48
LY75-CD302	3.6055e-50
LY86	5.1991e-03
LY9	1.0744e-01
LY96	5.2531e-02
LYAR	5.2119e-03
LYG1	1.0658e-04
LYG2	4.6616e-09
LYL1	1.8781e-01
LYN	1.0000e+00
LYNX1	1.8721e-03
LYNX1-SLURP2	3.4693e-03
LYPD1	6.4333e-03
LYPD2	1.5196e-02
LYPD3	6.9652e-09
LYPD4	9.3458e-05
LYPD5	2.1542e-07
LYPD6	4.0563e-02
LYPD6B	4.7318e-02
LYPD8	6.9418e-02
LYPLA1	7.6069e-02
LYPLA2	9.9549e-01
LYPLAL1	1.9304e-03
LYRM1	2.6270e-02
LYRM2	1.3805e-02
LYRM4	1.3084e-02
LYRM7	1.6000e-01
LYRM9	2.9309e-03
LYSMD1	1.4743e-01
LYSMD2	8.9638e-01
LYSMD3	2.7210e-01
LYSMD4	4.0997e-01
LYST	5.9520e-01
LYVE1	5.1009e-04
LYZ	1.2714e-04
LYZL1	7.3750e-07
LYZL2	3.2882e-03
LYZL4	4.3123e-01
LYZL6	8.1074e-08
LZIC	4.4177e-07
LZTFL1	4.0736e-01
LZTR1	4.2710e-15
LZTS1	3.1079e-02
LZTS2	4.3408e-02
LZTS3	1.6444e-01
M1AP	1.7370e-06
M6PR	9.5468e-01
MAB21L1	9.9228e-01
MAB21L2	3.7477e-02
MAB21L3	1.2656e-12
MAB21L4	3.7094e-01
MACC1	1.1079e-27
MACF1	1.0000e+00
MACIR	8.6749e-01
MACO1	1.0000e+00
MACROD1	2.0747e-06
MACROD2	2.7672e-02
MACROH2A1	9.9987e-01
MACROH2A2	9.8534e-01
MAD1L1	3.4726e-02
MAD2L1	5.0172e-01
MAD2L1BP	1.9508e-06
MAD2L2	1.1669e-02
MADCAM1	1.1000e-01
MADD	1.5503e-01
MAEA	4.9771e-01
MAEL	1.5668e-09
MAF	1.1881e-01
MAF1	9.9613e-01
MAFB	9.7964e-01
MAFF	1.7283e-02
MAFG	6.6690e-01
MAFK	5.0185e-01
MAG	1.5738e-01
MAGEA11	6.8445e-01
MAGEB16	3.7021e-01
MAGEB18	5.6883e-05
MAGEB3	4.3183e-01
MAGEC1	7.9896e-02
MAGEC3	4.0301e-04
MAGED1	9.9831e-01
MAGED2	9.9545e-01
MAGED4	3.7498e-01
MAGEE1	9.7046e-01
MAGEE2	1.9687e-12
MAGEH1	2.2920e-01
MAGI1	1.0000e+00
MAGI2	1.0000e+00
MAGI3	1.0000e+00
MAGIX	8.8878e-03
MAGOH	9.8413e-01
MAGOHB	1.5671e-02
MAGT1	9.6138e-01
MAIP1	1.0049e-05
MAJIN	5.4332e-03
MAK	1.7535e-06
MAK16	9.9999e-01
MAL	7.5749e-01
MAL2	5.2007e-05
MALL	8.9854e-01
MALRD1	5.3283e-14
MALSU1	1.0575e-03
MALT1	8.6513e-01
MAMDC2	6.4354e-11
MAMDC4	6.3095e-66
MAML1	1.0000e+00
MAML2	1.0000e+00
MAML3	1.0000e+00
MAMLD1	9.9842e-01
MAMSTR	1.1503e-01
MAN1A1	9.6602e-01
MAN1A2	9.6552e-01
MAN1B1	5.0442e-14
MAN1C1	3.5767e-05
MAN2A1	6.9840e-05
MAN2A2	2.6936e-02
MAN2B1	3.4640e-06
MAN2B2	1.3599e-27
MAN2C1	1.5807e-08
MANBA	3.3262e-02
MANBAL	7.3581e-01
MANEA	7.5684e-02
MANEAL	5.2685e-02
MANF	2.8635e-02
MANSC1	2.1616e-02
MANSC4	9.2220e-04
MAOA	9.9928e-01
MAOB	9.9903e-01
MAP10	1.1360e-05
MAP1A	1.0000e+00
MAP1B	1.0000e+00
MAP1LC3A	2.3986e-02
MAP1LC3B	8.9502e-04
MAP1LC3B2	3.1797e-01
MAP1LC3C	3.9951e-05
MAP1S	9.5049e-01
MAP2	1.0000e+00
MAP2K1	9.9628e-01
MAP2K2	7.2244e-02
MAP2K3	3.9407e-01
MAP2K4	9.9999e-01
MAP2K5	7.6582e-03
MAP2K6	7.6756e-01
MAP2K7	9.9804e-01
MAP3K1	1.0000e+00
MAP3K10	9.9902e-01
MAP3K11	8.9703e-01
MAP3K12	1.0000e+00
MAP3K13	4.3529e-01
MAP3K14	1.0000e+00
MAP3K15	5.9866e-26
MAP3K19	3.4313e-01
MAP3K2	7.9002e-01
MAP3K20	9.9993e-01
MAP3K21	1.0861e-04
MAP3K3	1.0000e+00
MAP3K4	1.0000e+00
MAP3K5	9.9994e-01
MAP3K6	1.5318e-04
MAP3K7	9.9991e-01
MAP3K7CL	2.3199e-01
MAP3K8	9.2706e-01
MAP3K9	2.8665e-01
MAP4	1.0000e+00
MAP4K1	1.0000e+00
MAP4K2	3.0116e-10
MAP4K3	1.3681e-02
MAP4K4	1.0000e+00
MAP4K5	9.2920e-01
MAP6	2.7037e-01
MAP6D1	1.4575e-05
MAP7	3.8141e-04
MAP7D1	6.1355e-01
MAP7D2	2.8055e-01
MAP7D3	9.5515e-10
MAP9	5.1167e-01
MAPK1	9.9852e-01
MAPK10	9.9222e-01
MAPK11	5.3284e-15
MAPK12	1.2009e-06
MAPK13	1.8828e-05
MAPK14	9.9648e-01
MAPK15	3.8441e-11
MAPK1IP1L	6.2663e-01
MAPK3	1.3594e-01
MAPK4	9.2850e-01
MAPK6	9.9718e-01
MAPK7	1.1844e-01
MAPK8	9.9762e-01
MAPK8IP1	9.9999e-01
MAPK8IP2	9.9975e-01
MAPK8IP3	1.0000e+00
MAPK9	2.7072e-01
MAPKAP1	9.9999e-01
MAPKAPK2	1.0000e+00
MAPKAPK3	7.8453e-02
MAPKAPK5	5.5805e-01
MAPKBP1	9.9793e-01
MAPRE1	9.9919e-01
MAPRE2	9.9871e-01
MAPRE3	1.0000e+00
MAPT	9.6116e-01
MARCHF1	2.7299e-01
MARCHF10	1.6894e-01
MARCHF11	1.4383e-03
MARCHF2	4.6714e-01
MARCHF3	6.1424e-01
MARCHF4	9.8474e-01
MARCHF5	9.9850e-01
MARCHF6	1.0000e+00
MARCHF7	9.9999e-01
MARCHF8	3.7368e-04
MARCHF9	8.4542e-01
MARCKS	7.2112e-03
MARCKSL1	2.5435e-01
MARCO	3.9189e-01
MARF1	1.0000e+00
MARK1	9.7522e-01
MARK2	1.0000e+00
MARK3	1.6589e-02
MARK4	1.0000e+00
MARS1	7.8608e-02
MARS2	1.3894e-08
MARVELD1	6.9736e-02
MARVELD2	3.9486e-01
MARVELD3	3.4474e-04
MAS1	3.1888e-01
MAS1L	5.6820e-02
MASP1	9.6169e-02
MASP2	2.5756e-08
MAST1	1.0000e+00
MAST2	2.5172e-02
MAST3	1.0000e+00
MAST4	2.0473e-01
MASTL	2.8170e-05
MAT1A	6.1869e-02
MAT2A	1.0000e+00
MAT2B	9.1221e-01
MATK	3.8206e-01
MATN1	1.7023e-10
MATN2	2.0520e-01
MATN3	1.2537e-12
MATN4	9.1772e-11
MATR3	1.0000e+00
MAU2	1.0000e+00
MAVS	4.8428e-02
MAX	9.9818e-01
MAZ	9.9951e-01
MB	2.9999e-01
MB21D2	9.9473e-01
MBD1	1.0000e+00
MBD2	9.4669e-01
MBD3	9.8387e-01
MBD3L1	2.9406e-01
MBD4	3.0895e-11
MBD5	1.0000e+00
MBD6	9.8806e-01
MBIP	1.5567e-02
MBL2	2.7157e-02
MBLAC1	1.5367e-01
MBLAC2	2.5568e-05
MBNL1	9.9999e-01
MBNL2	9.8394e-01
MBNL3	9.7163e-01
MBOAT1	2.7608e-04
MBOAT2	8.0050e-01
MBOAT4	1.9785e-03
MBOAT7	3.8320e-02
MBP	9.7656e-01
MBTD1	9.9964e-01
MBTPS1	4.1504e-01
MBTPS2	9.9752e-01
MC1R	9.0003e-03
MC2R	1.0567e-03
MC3R	5.8423e-04
MC4R	2.0768e-05
MC5R	3.1702e-01
MCAM	3.3877e-12
MCAT	9.1938e-02
MCC	1.1038e-03
MCCC1	1.2581e-07
MCCC2	3.5003e-04
MCCD1	7.9380e-03
MCEE	4.3090e-01
MCEMP1	4.7121e-04
MCF2	9.9889e-01
MCF2L	5.7012e-01
MCF2L2	7.3911e-03
MCFD2	3.6301e-02
MCHR1	3.5895e-02
MCHR2	2.0034e-04
MCIDAS	5.9479e-05
MCL1	9.9835e-01
MCM10	2.3487e-02
MCM2	1.2691e-02
MCM3	3.3039e-07
MCM3AP	8.2137e-02
MCM4	1.5082e-05
MCM5	6.9951e-02
MCM6	1.7341e-05
MCM7	2.4984e-09
MCM8	1.4367e-11
MCM9	1.3113e-01
MCMBP	8.0896e-01
MCMDC2	4.0887e-04
MCOLN1	9.6834e-05
MCOLN2	1.5365e-04
MCOLN3	3.8707e-08
MCPH1	1.0297e-05
MCRIP1	4.1183e-02
MCRIP2	1.8557e-04
MCRS1	9.6777e-01
MCTP1	7.6804e-02
MCTP2	4.3699e-09
MCTS1	8.7639e-01
MCU	9.9644e-01
MCUB	1.1791e-01
MCUR1	1.9189e-01
MDC1	2.7286e-01
MDFI	1.7441e-03
MDFIC	1.2771e-01
MDGA1	1.5201e-01
MDGA2	1.0000e+00
MDH1	6.7518e-01
MDH1B	2.2069e-06
MDH2	2.3133e-02
MDK	1.8707e-03
MDM1	6.7387e-01
MDM2	1.0000e+00
MDM4	1.0000e+00
MDN1	1.0000e+00
MDP1	1.0332e-05
ME1	2.5685e-06
ME2	4.1538e-04
ME3	3.4596e-01
MEA1	3.0957e-05
MEAF6	2.9119e-02
MEAK7	3.2438e-01
MECOM	1.0000e+00
MECP2	8.9382e-01
MECR	2.3099e-05
MED1	1.0000e+00
MED10	5.3876e-03
MED11	1.9956e-02
MED12	1.0000e+00
MED12L	1.0000e+00
MED13	1.0000e+00
MED13L	1.0000e+00
MED14	1.0000e+00
MED15	1.0000e+00
MED16	6.0752e-02
MED17	3.0991e-02
MED18	1.2872e-02
MED19	9.7243e-01
MED20	4.4311e-02
MED21	8.0749e-01
MED22	4.1798e-03
MED23	1.3722e-04
MED24	7.7272e-01
MED25	8.6878e-06
MED26	9.9998e-01
MED27	4.5360e-04
MED28	6.1510e-09
MED29	9.3903e-04
MED30	4.3804e-01
MED31	5.5089e-02
MED4	8.7550e-04
MED6	2.6675e-07
MED7	6.1339e-01
MED8	7.9879e-03
MED9	1.9170e-02
MEDAG	1.0095e-03
MEF2A	6.8269e-01
MEF2B	1.8382e-01
MEF2C	1.0000e+00
MEF2D	1.0000e+00
MEFV	3.2199e-18
MEGF10	2.4303e-05
MEGF11	4.6816e-01
MEGF6	1.7733e-15
MEGF8	9.2839e-02
MEGF9	1.0000e+00
MEI1	1.0485e-02
MEI4	3.4560e-08
MEIG1	5.5381e-05
MEIOB	1.3715e-01
MEIOC	1.0000e+00
MEIS1	1.0000e+00
MEIS2	1.0000e+00
MEIS3	7.8355e-04
MELK	1.9844e-04
MELTF	2.9850e-06
MEMO1	9.9695e-01
MEN1	1.0000e+00
MEOX1	5.8337e-04
MEOX2	1.0058e-01
MEP1A	4.4393e-10
MEP1B	6.6958e-17
MEPCE	9.9999e-01
MEPE	1.4962e-01
MERTK	4.2813e-03
MESD	1.0962e-01
MESP1	5.7110e-15
MESP2	6.4797e-06
MEST	9.5808e-01
MET	9.9994e-01
METAP1	8.3494e-02
METAP1D	2.1833e-05
METAP2	2.2641e-01
METRN	2.5734e-04
METRNL	1.8620e-01
METTL1	1.2011e-01
METTL11B	2.0088e-06
METTL13	4.8574e-09
METTL14	6.3913e-01
METTL15	3.0353e-01
METTL16	9.8603e-01
METTL17	1.2447e-03
METTL18	2.9975e-01
METTL21A	2.4813e-01
METTL21C	1.2456e-04
METTL22	3.7612e-01
METTL23	2.1444e-01
METTL24	1.3056e-05
METTL25	1.1896e-01
METTL25B	2.6992e-02
METTL26	3.0127e-06
METTL27	7.9654e-11
METTL2A	1.1284e-07
METTL2B	1.5683e-01
METTL4	3.2599e-01
METTL5	2.6211e-04
METTL6	2.8401e-02
METTL7A	2.5573e-02
METTL7B	1.2935e-02
METTL8	1.6518e-01
METTL9	9.9837e-01
MEX3A	9.9878e-01
MEX3B	3.1581e-01
MEX3C	9.0972e-01
MEX3D	1.3310e-01
MFAP1	9.9993e-01
MFAP2	7.5125e-06
MFAP3	6.7676e-01
MFAP3L	8.6736e-01
MFAP4	9.0258e-04
MFAP5	1.6802e-01
MFF	9.6159e-01
MFGE8	7.0737e-05
MFHAS1	1.1128e-10
MFN1	5.4561e-01
MFN2	8.9350e-01
MFNG	6.0428e-01
MFRP	1.6850e-04
MFSD1	1.2387e-01
MFSD10	7.9357e-17
MFSD11	7.6877e-01
MFSD12	9.8027e-06
MFSD13A	7.5239e-01
MFSD14A	2.4652e-02
MFSD14B	3.3147e-02
MFSD14C	4.2683e-01
MFSD2A	8.1942e-01
MFSD2B	4.9592e-09
MFSD3	8.2757e-14
MFSD4A	1.4295e-02
MFSD4B	4.1066e-01
MFSD5	5.5070e-05
MFSD6	6.7024e-01
MFSD6L	2.1554e-05
MFSD8	8.8286e-03
MFSD9	9.9660e-05
MGA	1.0000e+00
MGAM	9.2395e-03
MGARP	1.5916e-03
MGAT1	5.0513e-01
MGAT2	1.2399e-02
MGAT3	7.5275e-01
MGAT4A	3.7289e-01
MGAT4B	5.3888e-01
MGAT4C	2.7625e-01
MGAT5	9.9998e-01
MGAT5B	3.5702e-01
MGLL	9.9911e-01
MGME1	1.1582e-02
MGMT	1.0412e-02
MGP	1.8223e-01
MGRN1	9.9981e-01
MGST1	1.1672e-01
MGST2	2.3269e-01
MGST3	1.2515e-04
MIA	8.4164e-03
MIA2	1.0194e-02
MIA3	7.2246e-01
MIB1	3.5803e-28
MIB2	1.3028e-02
MICA	3.4855e-01
MICAL1	1.6507e-02
MICAL2	5.9956e-01
MICAL3	1.0000e+00
MICALL1	4.5650e-12
MICALL2	1.6835e-26
MICB	3.5065e-06
MICOS10	2.1263e-01
MICOS10-NBL1	1.0272e-01
MICOS13	8.8187e-05
MICU1	4.6505e-03
MICU2	6.7084e-06
MICU3	1.5936e-01
MID1	9.7967e-01
MID1IP1	5.7733e-01
MID2	7.3749e-01
MIDEAS	1.0000e+00
MIDN	2.0619e-05
MIEF1	4.8322e-01
MIEF2	8.0042e-01
MIEN1	1.1762e-04
MIER1	5.9867e-01
MIER2	2.8297e-01
MIER3	1.0000e+00
MIF	2.2471e-08
MIF4GD	4.7932e-02
MIGA1	3.6256e-04
MIGA2	1.0195e-02
MIIP	4.3943e-15
MILR1	7.6500e-02
MINAR1	1.5104e-07
MINAR2	1.4854e-08
MINDY1	1.0160e-01
