gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
GPR78	0.887692933	0.911253218	0.841761177	0.609195331	0.926780519	0.624276099
IL18BP	0.88769843	0.911262414	0.841770331	0.609252853	0.927009868	0.62433569
GJB5	0.887703926	0.911338109	0.841779483	0.609310375	0.928901992	0.624395282
TMEM218	0.887709421	0.911356415	0.841788634	0.609367897	0.929360689	0.624454873
FNDC10	0.887714915	0.911379273	0.841797784	0.609425419	0.92993406	0.624514465
BTN2A1	0.887720408	0.911388408	0.841806932	0.609482941	0.930163408	0.624574056
TCTE3	0.8877259	0.911399822	0.841816078	0.609540463	0.930450094	0.624633647
OR1J1	0.887731391	0.911408947	0.841825223	0.609597986	0.930679442	0.624693239
APCS	0.887736881	0.911420349	0.841834367	0.609655508	0.930966128	0.62475283
TRIM40	0.88774237	0.911456788	0.841843508	0.60971303	0.931883521	0.624812422
OR51B6	0.887747858	0.911477254	0.841852649	0.609770552	0.932399555	0.624872013
CARD17	0.887753346	0.911484072	0.841861787	0.609828074	0.932571567	0.624931605
C2orf66	0.887758832	0.911490887	0.841870924	0.609885596	0.932743578	0.624991196
APOL2	0.887764317	0.911502239	0.84188006	0.609943118	0.933030263	0.625050787
HHLA3	0.887769801	0.91152039	0.841889194	0.61000064	0.93348896	0.625110379
OR4S1	0.887775285	0.91154532	0.841898327	0.610058162	0.934119668	0.62516997
SPINK8	0.887780767	0.911586044	0.841907458	0.610115684	0.935151736	0.625229562
CLEC2A	0.887786248	0.911604115	0.841916587	0.610173206	0.935610433	0.625289153
VCPKMT	0.887791729	0.911613145	0.841925715	0.610230728	0.935839781	0.625348744
UBD	0.887797208	0.911615402	0.841934841	0.61028825	0.935897119	0.625408336
OR10R2	0.887802687	0.911628936	0.841943966	0.610345772	0.936241141	0.625467927
LRP5L	0.887808164	0.911653725	0.841953089	0.610403294	0.936871849	0.625527519
TMEM61	0.887813641	0.911673983	0.841962211	0.610460816	0.937387883	0.62558711
C11orf1	0.887819116	0.911696467	0.841971331	0.610518338	0.937961254	0.625646702
ZNF695	0.887824591	0.911698714	0.84198045	0.61057586	0.938018591	0.625706293
VTCN1	0.887830065	0.911723413	0.841989567	0.610633382	0.9386493	0.625765884
VSTM5	0.887835537	0.911757042	0.841998683	0.610690904	0.939509356	0.625825476
IL1F10	0.887841009	0.344529952	0.433840074	0.610748426	0.020045466	0.055870009
KRT6C	0.88784648	0.911774954	0.842007797	0.610805948	0.939968053	0.625885067
PATE4	0.88785195	0.911824123	0.842016909	0.61086347	0.941229469	0.625944659
PRELID3A	0.887857419	0.911848661	0.84202602	0.610920992	0.941860177	0.62600425
RLN1	0.887862887	0.911853119	0.84203513	0.610978514	0.941974852	0.626063841
ZNF708	0.887868353	0.911868714	0.842044237	0.611036036	0.942376211	0.626123433
C15orf48	0.887873819	0.911879845	0.842053344	0.611093558	0.942662897	0.626183024
OR13C8	0.887879284	0.911884295	0.842062449	0.61115108	0.942777571	0.626242616
LRRC30	0.887884748	0.91188652	0.842071552	0.611208602	0.942834908	0.626302207
ZNF347	0.887890212	0.911899865	0.842080654	0.611266124	0.943178931	0.626361799
MT1H	0.887895674	0.911930965	0.842089754	0.611323646	0.94398165	0.62642139
CXCL8	0.887901135	0.911946496	0.842098852	0.611381168	0.94438301	0.626480981
OR7A17	0.887906595	0.911973092	0.84210795	0.61143869	0.945071055	0.626540573
TSPAN10	0.887912054	0.911979735	0.842117045	0.611496212	0.945243066	0.626600164
RAET1L	0.887917513	0.912001861	0.842126139	0.611553735	0.945816437	0.626659756
FABP4	0.88792297	0.912004073	0.842135232	0.611611257	0.945873775	0.626719347
AP000781.2	0.887928426	0.912017335	0.842144323	0.611668779	0.946217797	0.626778939
KRTAP5-6	0.887933882	0.9120769	0.842153412	0.611726301	0.947765899	0.62683853
IFNL2	0.887939336	0.912094513	0.8421625	0.611783823	0.948224596	0.626898121
USP50	0.88794479	0.912125296	0.842171587	0.611841345	0.949027315	0.626957713
OR10J3	0.887950242	0.912127493	0.842180672	0.611898867	0.949084652	0.627017304
OR10S1	0.887955694	0.91212969	0.842189755	0.611956389	0.949141989	0.627076896
TMEM211	0.887961144	0.912131886	0.842198837	0.612013911	0.949199327	0.627136487
OR4D5	0.887966594	0.912138474	0.842207917	0.612071433	0.949371338	0.627196078
OR6V1	0.887972043	0.912182333	0.842216996	0.612128955	0.95051808	0.62725567
ZNF85	0.88797749	0.912184523	0.842226073	0.612186477	0.950575417	0.627315261
TCF24	0.887982937	0.912191093	0.842235149	0.612243999	0.950747428	0.627374853
PLGRKT	0.887988383	0.912212974	0.842244223	0.612301521	0.951320799	0.627434444
RNASE1	0.887993828	0.912215161	0.842253295	0.612359043	0.951378136	0.627494036
CCL20	0.887999272	0.91222172	0.842262367	0.612416565	0.951550148	0.627553627
MRPL11	0.888004715	0.912228276	0.842271436	0.612474087	0.951722159	0.627613218
EQTN	0.888010157	0.912263206	0.842280504	0.612531609	0.952639553	0.62767281
PMM2	0.888015598	0.912308952	0.842289571	0.612589131	0.953843632	0.627732401
MOAP1	0.888021038	0.912339389	0.842298636	0.612646653	0.954646351	0.627791993
SEPTIN12	0.888026477	0.912343733	0.842307699	0.612704175	0.954761026	0.627851584
APOL6	0.888031915	0.912408773	0.842316761	0.612761697	0.956481139	0.627911175
SPATA46	0.888037352	0.91246496	0.842325822	0.612819219	0.957971903	0.627970767
BORCS7	0.888042789	0.91248437	0.842334881	0.612876741	0.958487937	0.628030358
C4orf19	0.888048224	0.912486526	0.842343938	0.612934263	0.958545274	0.62808995
ANKRD34B	0.888053658	0.912501607	0.842352994	0.612991785	0.958946634	0.628149541
TRIB3	0.888059092	0.912503761	0.842362048	0.613049307	0.959003971	0.628209133
SCGB2B2	0.888064524	0.912557517	0.842371101	0.613106829	0.960437399	0.628268724
MGARP	0.888069956	0.912572541	0.842380152	0.613164351	0.960838758	0.628328315
OR4K2	0.888075386	0.912574687	0.842389202	0.613221873	0.960896096	0.628387907
ZNF486	0.888080816	0.912623961	0.84239825	0.613279395	0.962214849	0.628447498
C11orf86	0.888086245	0.912660299	0.842407297	0.613336917	0.96318958	0.62850709
C17orf67	0.888091672	0.912668838	0.842416342	0.613394439	0.963418928	0.628566681
FAM25C	0.888097099	0.912683773	0.842425386	0.613451961	0.963820288	0.628626273
PSG5	0.888102525	0.912685906	0.842434428	0.613509484	0.963877625	0.628685864
SLC38A8	0.88810795	0.912688038	0.842443469	0.613567006	0.963934962	0.628745455
OR8K5	0.888113374	0.912700827	0.842452508	0.613624528	0.964278985	0.628805047
MT1X	0.888118796	0.912743394	0.842461545	0.61368205	0.965425727	0.628864638
REELD1	0.888124218	0.912813417	0.842470582	0.613739572	0.967317851	0.62892423
OR1L3	0.888129639	0.912817653	0.842479616	0.613797094	0.967432525	0.628983821
ADIPOQ	0.88813506	0.912843045	0.842488649	0.613854616	0.968120571	0.629043412
OR4C11	0.888140479	0.91286629	0.842497681	0.613912138	0.968751279	0.629103004
C1orf210	0.888145897	0.912889507	0.842506711	0.61396966	0.969381987	0.629162595
MUCL1	0.888151314	0.91290005	0.842515739	0.614027182	0.969668672	0.629222187
C1orf189	0.88815673	0.912931644	0.842524766	0.614084704	0.970528729	0.629281778
LYPD3	0.888162146	0.912937957	0.842533792	0.614142226	0.97070074	0.62934137
NUPR1	0.88816756	0.912948472	0.842542816	0.614199748	0.970987426	0.629400961
TAS2R4	0.888172974	0.912977885	0.842551838	0.61425727	0.971790145	0.629460552
OR52N4	0.888178386	0.912994671	0.842560859	0.614314792	0.972248842	0.629520144
CXCL5	0.888183798	0.913003059	0.842569878	0.614372314	0.97247819	0.629579735
NA	0.888189208	0.913026105	0.842578896	0.614429836	0.973108899	0.629639327
FAM107A	0.888194618	0.91304703	0.842587913	0.614487358	0.97368227	0.629698918
IL32	0.888200027	0.913070022	0.842596927	0.61454488	0.974312978	0.62975851
GNRH2	0.888205434	0.377204894	0.464530834	0.614602402	0.023585724	0.065038252
NPS	0.888210841	0.913118002	0.842605941	0.614659924	0.975631731	0.629818101
TMEM236	0.888216247	0.913140904	0.842614953	0.614717446	0.976262439	0.629877692
PLAAT4	0.888221652	0.913142985	0.842623963	0.614774968	0.976319776	0.629937284
CST7	0.888227056	0.913161701	0.842632972	0.61483249	0.97683581	0.629996875
CIDEB	0.888232459	0.913163779	0.842641979	0.614890012	0.976893147	0.630056467
LENEP	0.888237861	0.913219805	0.842650985	0.614947534	0.978441249	0.630116058
OR5L2	0.888243262	0.913236373	0.842659989	0.615005056	0.978899946	0.630175649
AKR1B15	0.888248663	0.913254994	0.842668992	0.615062578	0.97941598	0.630235241
NEU2	0.888254062	0.913257061	0.842677993	0.6151201	0.979473317	0.630294832
TAS2R39	0.88825946	0.913261196	0.842686993	0.615177622	0.979587991	0.630354424
OR2T10	0.888264858	0.913263263	0.842695991	0.615235144	0.979645328	0.630414015
CLPSL1	0.888270254	0.913267397	0.842704988	0.615292666	0.979760003	0.630473607
ZNF678	0.888275649	0.91327153	0.842713983	0.615350188	0.979874677	0.630533198
OR10G4	0.888281044	0.913290115	0.842722977	0.61540771	0.980390711	0.630592789
OR10J1	0.888286438	0.913292179	0.842731969	0.615465233	0.980448048	0.630652381
PTPN20	0.88829183	0.913294242	0.84274096	0.615522755	0.980505385	0.630711972
OTOS	0.888297222	0.913306619	0.842749949	0.615580277	0.980849408	0.630771564
OR4C16	0.888302613	0.913329289	0.842758937	0.615637799	0.981480116	0.630831155
INSL4	0.888308003	0.913339583	0.842767923	0.615695321	0.981766801	0.630890746
FAM24A	0.888313391	0.913349873	0.842776907	0.615752843	0.982053487	0.630950338
IFI27L2	0.888318779	0.913362212	0.842785891	0.615810365	0.982397509	0.631009929
KRTAP5-9	0.888324166	0.913374543	0.842794872	0.615867887	0.982741532	0.631069521
CLDN25	0.888329552	0.913376598	0.842803852	0.615925409	0.982798869	0.631129112
OR5I1	0.888334938	0.913438122	0.842812831	0.615982931	0.984518982	0.631188704
ZNF468	0.888340322	0.913464718	0.842821808	0.616040453	0.985264364	0.631248295
OR4A47	0.888345705	0.913468807	0.842830784	0.616097975	0.985379039	0.631307886
OR5D14	0.888351087	0.913487193	0.842839758	0.616155497	0.985895073	0.631367478
CORT	0.888356469	0.913521872	0.842848731	0.616213019	0.986869803	0.631427069
C8orf74	0.888361849	0.913556485	0.842857702	0.616270541	0.987844534	0.631486661
ALG1L	0.888367229	0.91356462	0.842866671	0.616328063	0.988073883	0.631546252
LMF2	0.888372607	0.913582909	0.84287564	0.616385585	0.988589916	0.631605844
OR51A7	0.888377985	0.913589002	0.842884606	0.616443107	0.988761928	0.631665435
TRAPPC2L	0.888383361	0.913659931	0.842893571	0.616500629	0.990768726	0.631725026
SPINK6	0.888388737	0.913665998	0.842902535	0.616558151	0.990940738	0.631784618
RPA3	0.888394112	0.913712443	0.842911497	0.616615673	0.992259491	0.631844209
NA	0.888399486	0.913730584	0.842920458	0.616673195	0.992775525	0.631903801
FAM174C	0.888404859	0.913732599	0.842929417	0.616730717	0.992832862	0.631963392
PATE1	0.888410231	0.913740655	0.842938375	0.616788239	0.993062211	0.632022983
CRCT1	0.888415602	0.913746695	0.842947331	0.616845761	0.993234222	0.632082575
DEFB132	0.888420972	0.913782892	0.842956285	0.616903283	0.99426629	0.632142166
C9orf92	0.888426341	0.91378691	0.842965238	0.616960805	0.994380964	0.632201758
CCDC144NL	0.888431709	0.913790926	0.84297419	0.617018327	0.994495638	0.632261349
S100A5	0.888437077	0.913794942	0.84298314	0.617075849	0.994610312	0.632320941
GNG10	0.888442443	0.913823026	0.842992089	0.617133371	0.995413032	0.632380532
CST1	0.888447808	0.913833046	0.843001036	0.617190893	0.995699717	0.632440123
ANKRD65	0.888453173	0.913839055	0.843009982	0.617248415	0.995871729	0.632499715
AC005837.2	0.888458536	0.91387107	0.843018926	0.617305937	0.996789122	0.632559306
OR4S2	0.888463899	0.913905024	0.843027868	0.617363459	0.997763853	0.632618898
SMIM3	0.888469261	0.91392696	0.84303681	0.617420982	0.998394561	0.632678489
PRB2	0.888474621	0.913930946	0.843045749	0.617478504	0.998509235	0.63273808
FNDC3B	0.888479981	0.701929324	0.843054687	0.617536026	0.111504248	0.632797672
RSF1	0.88848534	0.70202354	0.843063624	0.617593548	0.111561585	0.632857263
PRKDC	0.888490698	0.70239969	0.843072559	0.61765107	0.111790934	0.632916855
SMG1	0.888496055	0.702493549	0.843081493	0.617708592	0.111848271	0.632976446
LRP1	0.888501411	0.702868275	0.843090425	0.617766114	0.112077619	0.633036038
NPEPPS	0.888506766	0.703055212	0.843099356	0.617823636	0.112192293	0.633095629
PPFIA1	0.888512121	0.703335089	0.843108285	0.617881158	0.112364305	0.63315522
ZSWIM6	0.888517474	0.26574071	0.354189	0.61793868	0.013087611	0.037036573
TSC2	0.888522826	0.021742233	0.031419247	0.617996202	0.000547208	0.001170691
GREB1L	0.888528178	0.703892945	0.843117213	0.618053724	0.112708327	0.633214812
MBTD1	0.888533528	0.225949841	0.301633395	0.618111246	0.010227876	0.027567609
GTPBP4	0.888538878	0.704725012	0.843126139	0.618168768	0.113224361	0.633274403
RBM33	0.888544226	0.685877373	0.799628657	0.61822629	0.102289573	0.425799366
MEIOC	0.888549574	0.705368296	0.843135064	0.618283812	0.113625721	0.633333995
MN1	0.888554921	1.19E-17	4.00E-18	0.618341334	7.37E-20	2.79E-20
AC023055.1	0.888560267	0.705825722	0.843143987	0.618398856	0.113912407	0.633393586
UBP1	0.888565612	0.705917003	0.843152909	0.618456378	0.113969744	0.633453178
LUC7L3	0.888570956	0.706190434	0.843161829	0.6185139	0.114141755	0.633512769
MGA	0.888576299	0.58276315	0.665501263	0.618571422	0.061376152	0.178712215
USP34	0.888581641	0.706554057	0.843170748	0.618628944	0.114371103	0.63357236
MAP3K2	0.888586982	0.641142437	0.733006086	0.618686466	0.081339103	0.26548775
DAAM2	0.888592322	0.261640697	0.348553851	0.618743988	0.012775149	0.035922585
SCAF8	0.888597662	0.707548452	0.843179665	0.61880151	0.115001811	0.633631952
COL5A2	0.888603	0.707638449	0.843188581	0.618859032	0.115059149	0.633691543
DDX5	0.888608337	0.532972661	0.616131836	0.618916554	0.048701569	0.137627668
ACTN4	0.888613674	0.708087433	0.843197495	0.618974076	0.115345834	0.633751135
MAPK8IP2	0.88861901	0.708534757	0.843206408	0.619031598	0.11563252	0.633810726
AP2A2	0.888624344	0.653510898	0.752124914	0.61908912	0.086536953	0.300719895
SMU1	0.888629678	0.709866856	0.84321532	0.619146642	0.116492576	0.633870317
DCAF1	0.888635011	0.71004336	0.84322423	0.619204164	0.11660725	0.633929909
TRPS1	0.888640343	0.246774351	0.328637313	0.619261686	0.011676918	0.032179545
MTA1	0.888645674	0.134035829	0.186152075	0.619319208	0.004942814	0.01251765
ANKHD1-EIF4EBP3	0.888651004	0.710659084	0.843233138	0.619376731	0.11700861	0.6339895
TIAL1	0.888656333	0.683003813	0.793788934	0.619434253	0.100748009	0.406457333
TIPARP	0.888661661	0.711184339	0.843242045	0.619491775	0.117352633	0.634049092
ISY1	0.888666988	0.635184489	0.726968303	0.619549297	0.078973111	0.255594332
NOTCH2	0.888672315	0.024818209	0.03640072	0.619606819	0.000636607	0.001401969
CSE1L	0.88867764	0.518176631	0.603382188	0.619664341	0.045504355	0.128951009
ADAM10	0.888682965	0.711881102	0.84325095	0.619721863	0.11781133	0.634108683
SRRM2	0.888688288	1.80E-14	2.22E-14	0.619779385	1.27E-16	1.85E-16
EIF4A3	0.888693611	0.497005048	0.579302162	0.619836907	0.041305405	0.114247791
SF3A3	0.888698933	0.712487443	0.843259854	0.619894429	0.118212689	0.634168275
PRRC2C	0.888704254	0.71283254	0.843268757	0.619951951	0.118442038	0.634227866
PPFIA3	0.888709573	0.712918657	0.843277657	0.620009473	0.118499375	0.634287457
NUP98	0.888714892	0.713519733	0.843286557	0.620066995	0.118900735	0.634347049
EIF4B	0.88872021	0.713690909	0.843295455	0.620124517	0.119015409	0.63440664
TEAD1	0.888725528	0.713861838	0.843304351	0.620182039	0.119130083	0.634466232
PRMT5	0.888730844	0.71394721	0.843313246	0.620239561	0.11918742	0.634525823
WDR5	0.888736159	0.061361527	0.087415634	0.620297083	0.001840622	0.004288012
CUL4A	0.888741473	0.059639014	0.083381144	0.620354605	0.001778155	0.004027344
ZNF219	0.888746787	0.714117768	0.84332214	0.620412127	0.119302094	0.634585415
SOBP	0.888752099	0.089248743	0.123377114	0.620469649	0.002924921	0.006864649
EPHA7	0.888757411	0.278982059	0.369404882	0.620527171	0.014127014	0.040180177
AHCTF1	0.888762722	0.715473413	0.843331032	0.620584693	0.120219488	0.634645006
AAK1	0.888768031	0.715557624	0.843339923	0.620642215	0.120276825	0.634704597
FNIP2	0.88877334	0.715893862	0.843348812	0.620699737	0.120506173	0.634764189
YTHDC2	0.888778648	0.71606162	0.843357699	0.620757259	0.120620848	0.63482378
PTPN6	0.888783955	0.716229138	0.843366585	0.620814781	0.120735522	0.634883372
ZSWIM8	0.888789261	0.175837851	0.249695184	0.620872303	0.007142324	0.019938785
ZFHX3	0.888794566	3.59E-09	3.55E-09	0.620929825	3.55E-11	4.10E-11
JPH4	0.88879987	0.491286745	0.574259633	0.620987347	0.040237134	0.111416198
HEATR1	0.888805174	0.71772607	0.84337547	0.621044869	0.12176759	0.634942963
PSMC1	0.888810476	0.717973696	0.843384353	0.621102391	0.121939601	0.635002554
RB1CC1	0.888815778	0.718138488	0.843393235	0.621159913	0.122054275	0.635062146
TRAPPC8	0.888821078	0.718220796	0.843402115	0.621217435	0.122111612	0.635121737
ARID4A	0.888826378	0.071902367	0.102218908	0.621274957	0.002234923	0.005296286
SOS1	0.888831677	0.000323017	0.000303344	0.62133248	5.60E-06	6.37E-06
UBE2O	0.888836974	0.718549444	0.843410994	0.621390002	0.122340961	0.635181329
AFTPH	0.888842271	0.718795319	0.843419871	0.621447524	0.122512972	0.63524092
JAG2	0.888847567	0.71944844	0.843428747	0.621505046	0.122971669	0.635300512
USP24	0.888852862	0.603659295	0.690013797	0.621562568	0.0677668	0.204988546
ITPKB	0.888858156	0.550457217	0.631197746	0.62162009	0.052790966	0.148792946
FBXL17	0.88886345	0.410917463	0.497620874	0.621677612	0.027727361	0.076475936
YBX2	0.888868742	0.721465867	0.843437621	0.621735134	0.124405096	0.635360103
PAN3	0.888874033	0.670478082	0.7744061	0.621792656	0.094368114	0.351210256
CMIP	0.888879324	0.082416055	0.114007576	0.621850178	0.002646279	0.006150243
PPRC1	0.888884613	0.721944807	0.843446494	0.6219077	0.124749119	0.635419694
EFEMP1	0.888889902	0.722104008	0.843455365	0.621965222	0.124863793	0.635479286
FBXW2	0.88889519	0.722342393	0.843464235	0.622022744	0.125035805	0.635538877
ZNF541	0.888900476	0.722896689	0.843473103	0.622080266	0.125437164	0.635598469
FASN	0.888905762	0.722975654	0.84348197	0.622137788	0.125494501	0.63565806
XPR1	0.888911047	0.041796346	0.06312271	0.62219531	0.001165447	0.002799401
NR2E1	0.888916331	0.723840659	0.843490836	0.622252832	0.12612521	0.635717651
RXRA	0.888921614	0.461549566	0.548138363	0.622310354	0.035099508	0.097924263
EPC2	0.888926897	0.724465624	0.8434997	0.622367876	0.126583906	0.635777243
ROBO2	0.888932178	0.724543502	0.843508562	0.622425398	0.126641243	0.635836834
MAST1	0.888937458	0.724621326	0.843517423	0.62248292	0.126698581	0.635896426
POLR2A	0.888942738	0.638048404	0.73075711	0.622540442	0.080099371	0.26173951
RACK1	0.888948016	0.434519688	0.523536554	0.622597964	0.03097216	0.086796917
DPF2	0.888953294	2.90E-11	2.53E-11	0.622655486	2.43E-13	2.51E-13
FGD5	0.888958571	0.72570525	0.843526283	0.622713008	0.1275013	0.635956017
ZBTB2	0.888963847	0.725859245	0.843535141	0.62277053	0.127615974	0.636015609
MDM2	0.888969122	0.726089843	0.843543997	0.622828052	0.127787986	0.6360752
MYC	0.888974396	0.726243311	0.843552852	0.622885574	0.12790266	0.636134791
RBFOX3	0.888979669	0.424252702	0.514994208	0.622943096	0.029523379	0.083248591
RPL5	0.888984941	0.726855086	0.843561706	0.623000618	0.128361357	0.636194383
PHF23	0.888990212	0.726931323	0.843570558	0.62305814	0.128418694	0.636253974
NOP2	0.888995482	0.689623683	0.805693234	0.623115662	0.104346682	0.447475602
CSK	0.889000752	0.727615116	0.843579409	0.623173184	0.128934728	0.636313566
CADM4	0.88900602	0.728219423	0.843588258	0.623230707	0.129393424	0.636373157
ZNF654	0.889011288	0.728820455	0.843597106	0.623288229	0.129852121	0.636432749
MNT	0.889016555	0.2622296	0.3494992	0.623345751	0.01281973	0.036107707
ANKRD28	0.889021821	0.729343691	0.843605952	0.623403273	0.130253481	0.63649234
PSMD4	0.889027086	0.729790213	0.843614797	0.623460795	0.130597504	0.636551931
ISY1-RAB43	0.88903235	0.729864458	0.84362364	0.623518317	0.130654841	0.636611523
HIVEP1	0.889037613	0.729938652	0.843632482	0.623575839	0.130712178	0.636671114
ENAH	0.889042875	0.638615394	0.731288103	0.623633361	0.080324724	0.26261778
PCGF1	0.889048136	0.730382772	0.843641322	0.623690883	0.1310562	0.636730706
TTC28	0.889053396	0.730456618	0.843650161	0.623748405	0.131113537	0.636790297
NUP153	0.889058656	0.730677858	0.843658999	0.623805927	0.131285549	0.636849888
BAG6	0.889063915	0.730751505	0.843667835	0.623863449	0.131342886	0.63690948
CNOT7	0.889069172	0.351162704	0.437625399	0.623920971	0.020728095	0.056933961
ABL1	0.889074429	5.43E-08	5.16E-08	0.623978493	5.93E-10	6.74E-10
HTT	0.889079685	0.731485268	0.843676669	0.624036015	0.131916257	0.636969071
R3HDM2	0.88908494	0.731631432	0.843685502	0.624093537	0.132030931	0.637028663
PSME4	0.889090194	0.731923174	0.843694334	0.624151059	0.13226028	0.637088254
PNISR	0.889095447	0.085517415	0.115753225	0.624208581	0.002771667	0.006280719
DPP10	0.889100699	0.732068752	0.843703164	0.624266103	0.132374954	0.637147846
PTPN2	0.88910595	0.732576751	0.843711993	0.624323625	0.132776313	0.637207437
PLK2	0.889111201	0.732721458	0.84372082	0.624381147	0.132890988	0.637267028
DST	0.88911645	0.732865973	0.843729645	0.624438669	0.133005662	0.63732662
CENPB	0.889121699	0.367990141	0.451912639	0.624496191	0.022543138	0.061117189
NOL6	0.889126946	0.73351392	0.84373847	0.624553713	0.133521696	0.637386211
NOVA1	0.889132193	0.41516855	0.502265038	0.624611235	0.028289843	0.078229363
ATP5F1A	0.889137439	0.52732125	0.609623087	0.624668757	0.047453151	0.133114558
RNF8	0.889142684	0.607239102	0.694859685	0.624726279	0.068938316	0.21078686
SYCP2	0.889147928	0.141448717	0.199390235	0.624783801	0.005310086	0.013908132
ACAN	0.889153171	0.733872222	0.843747292	0.624841323	0.133808381	0.637445803
FAT4	0.889158413	0.734086634	0.843756114	0.624898845	0.133980393	0.637505394
CEP350	0.889163655	0.73422934	0.843764934	0.624956367	0.134095067	0.637564985
DDX21	0.889168895	0.687658249	0.802811159	0.625013889	0.103260726	0.436961451
NCAM1	0.889174135	0.297903262	0.390195476	0.625071411	0.015696457	0.044791277
SARNP	0.889179373	0.734656326	0.843773752	0.625128933	0.134439089	0.637624577
EEF1A2	0.889184611	0	0	0.625186456	0	0
NFATC2	0.889189848	0.735575692	0.843782569	0.625243978	0.135184472	0.637684168
TMEM108	0.889195084	0.735646087	0.843791384	0.6253015	0.135241809	0.63774376
PRRC2B	0.889200319	0.735997372	0.843800198	0.625359022	0.135528494	0.637803351
SUGP2	0.889205553	0.736347507	0.843809011	0.625416544	0.13581518	0.637862943
USP37	0.889210786	0.736487241	0.843817822	0.625474066	0.135929854	0.637922534
USF3	0.889216019	0.737044352	0.843826632	0.625531588	0.136388551	0.637982125
CBX2	0.88922125	0.737183175	0.84383544	0.62558911	0.136503225	0.638041717
PPARD	0.889226481	0.683325894	0.796367302	0.625646632	0.100919244	0.414821146
NYAP1	0.88923171	0.569897874	0.651596339	0.625704154	0.057785445	0.165740872
SCARF2	0.889236939	0.558582315	0.637658468	0.625761676	0.054817581	0.153915842
RPL7A	0.889242167	0.737805649	0.843844246	0.625819198	0.137019259	0.638101308
ACTR3B	0.889247394	0.737943482	0.843853052	0.62587672	0.137133933	0.6381609
CEP170	0.88925262	0.73835591	0.843861855	0.625934242	0.137477956	0.638220491
EBF2	0.889257845	0.738698376	0.843870658	0.625991764	0.137764641	0.638280083
SCAF11	0.889263069	0.739107875	0.843879459	0.626049286	0.138108664	0.638339674
BHLHE40	0.889268293	0.343569454	0.433658452	0.626106808	0.01994811	0.055819417
PPP4R3A	0.889273515	0.739583623	0.843888258	0.62616433	0.138510024	0.638399265
PSMD13	0.889278736	0.523305606	0.606614225	0.626221852	0.046586443	0.1310877
SGIP1	0.889283957	0.739651412	0.843897056	0.626279374	0.138567361	0.638458857
NUFIP2	0.889289177	0.740394216	0.843905852	0.626336896	0.139198069	0.638518448
COPS4	0.889294396	0.474546256	0.557793549	0.626394418	0.037262157	0.102693208
HCFC2	0.889299614	0.740797175	0.843914647	0.62645194	0.139542092	0.63857804
PAIP1	0.889304831	0.740864184	0.843923441	0.626509462	0.139599429	0.638637631
NEDD4L	0.889310047	0.406606763	0.493319656	0.626566984	0.027166542	0.074886565
DLGAP2	0.889315262	0.741265339	0.843932233	0.626624506	0.139943451	0.638697222
VCAN	0.889320476	0.741332049	0.843941024	0.626682028	0.140000788	0.638756814
NTNG2	0.88932569	0.741531923	0.843949813	0.62673955	0.1401728	0.638816405
STIP1	0.889330903	0.741731414	0.8439586	0.626797072	0.140344811	0.638875997
RPL6	0.889336114	0.741930523	0.843967387	0.626854594	0.140516822	0.638935588
SETDB1	0.889341325	0.741996808	0.843976172	0.626912116	0.14057416	0.63899518
DMXL1	0.889346535	0.742261528	0.843984955	0.626969638	0.140803508	0.639054771
CAMSAP2	0.889351744	0.742459626	0.843993737	0.62702716	0.140975519	0.639114362
UNC5A	0.889356952	0.607407882	0.694907239	0.627084682	0.068994137	0.210844876
IL21R	0.889362159	0.742920388	0.844002517	0.627142205	0.141376879	0.639173954
ZNF512B	0.889367365	0.743248253	0.844011296	0.627199727	0.141663564	0.639233545
BHLHE41	0.889372571	0.361721346	0.44538166	0.627257249	0.021853468	0.059172295
RBM27	0.889377775	0.743313701	0.844020074	0.627314771	0.141720902	0.639293137
ANKIB1	0.889382979	0.617256307	0.706320801	0.627372293	0.072348062	0.22542871
GLG1	0.889388182	0.743705523	0.84402885	0.627429815	0.142064924	0.639352728
RAB11A	0.889393384	0.008081407	0.010251207	0.627487337	0.000180468	0.000312515
SVOP	0.889398585	0.744549396	0.844037624	0.627544859	0.142810307	0.639412319
CSMD1	0.889403785	0.667653958	0.770708771	0.627602381	0.093003518	0.341991635
MAP3K7	0.889408984	1.23E-15	1.76E-15	0.627659903	8.25E-18	1.37E-17
BTBD18	0.889414182	0.745834266	0.844046398	0.627717425	0.143957049	0.639471911
ATF7IP	0.889419379	0.330815606	0.421589678	0.627774947	0.01868848	0.052547004
RNF111	0.889424576	0.67552301	0.780490923	0.627832469	0.096872102	0.367237607
SARS1	0.889429771	0.746343725	0.844055169	0.627889991	0.144415745	0.639531502
AFDN	0.889434966	0.349754613	0.436908313	0.627947513	0.020581651	0.056731045
EVI5L	0.88944016	0.746724154	0.84406394	0.628005035	0.144759768	0.639591094
THSD7A	0.889445353	0.747103164	0.844072708	0.628062557	0.145103791	0.639650685
WASF1	0.889450545	0.454958674	0.542851416	0.628120079	0.034049111	0.095413369
SENP6	0.889455736	0.747355053	0.844081476	0.628177601	0.145333139	0.639710277
RPS8	0.889460926	0.492441718	0.575059443	0.628235123	0.040450613	0.111859953
